c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          22890575
c   Number of nodes:      120
c   Source nodes:         7
c   Sink nodes:           7
c   Number of arcs:       1000
c   Minimum arc cost:     2
c   Maximum arc cost:     200
c   Total supply:         5000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 100
c   Maximum arc capacity: 1000
c
c  *** Minimum cost flow ***
c
p min 120 1000
n 1 193
n 2 690
n 3 1674
n 4 324
n 5 387
n 6 1028
n 7 704
n 114 -927
n 115 -242
n 116 -93
n 117 -231
n 118 -964
n 119 -1860
n 120 -683
a 1 47 0 193 200
a 1 57 0 546 137
a 1 8 0 620 31
a 1 86 0 655 190
a 1 70 0 758 125
a 1 106 0 647 54
a 1 42 0 211 91
a 1 46 0 916 125
a 1 117 0 897 196
a 1 74 0 450 59
a 1 111 0 701 56
a 1 95 0 166 24
a 16 23 0 193 86
a 16 62 0 197 56
a 16 114 0 229 51
a 16 93 0 344 172
a 16 70 0 136 32
a 16 40 0 450 193
a 17 22 0 193 200
a 17 61 0 765 144
a 17 81 0 671 69
a 17 114 0 987 142
a 17 57 0 411 58
a 17 80 0 890 161
a 17 77 0 300 172
a 18 38 0 193 17
a 18 108 0 378 52
a 18 115 0 563 6
a 18 101 0 822 26
a 18 45 0 228 183
a 18 32 0 706 30
a 18 110 0 603 129
a 18 48 0 255 22
a 18 104 0 834 133
a 18 69 0 646 70
a 18 116 0 559 94
a 18 29 0 121 135
a 22 48 0 193 200
a 22 104 0 205 46
a 22 120 0 436 45
a 22 101 0 501 101
a 22 52 0 759 132
a 22 106 0 609 88
a 22 96 0 991 6
a 22 115 0 340 98
a 22 51 0 967 192
a 22 81 0 944 146
a 22 76 0 499 183
a 22 49 0 982 131
a 22 19 0 507 183
a 22 23 0 684 198
a 23 81 0 193 200
a 23 62 0 815 192
a 23 99 0 846 149
a 23 84 0 652 65
a 23 56 0 728 171
a 23 108 0 982 101
a 23 110 0 386 10
a 23 68 0 490 50
a 23 107 0 704 30
a 23 77 0 760 52
a 23 106 0 653 26
a 23 65 0 796 24
a 24 17 0 193 200
a 24 80 0 692 50
a 24 44 0 603 180
a 24 82 0 189 168
a 24 106 0 138 200
a 24 113 0 789 134
a 25 83 0 193 121
a 25 26 0 597 80
a 38 71 0 193 200
a 38 86 0 250 94
a 38 119 0 790 130
a 38 49 0 484 61
a 38 50 0 849 129
a 38 97 0 720 95
a 38 24 0 309 117
a 38 120 0 420 42
a 38 84 0 780 72
a 38 66 0 458 58
a 38 43 0 284 186
a 38 73 0 284 125
a 45 120 0 193 179
a 45 109 0 950 3
a 45 32 0 821 67
a 45 72 0 945 31
a 47 99 0 193 200
a 47 44 0 386 125
a 47 78 0 388 87
a 47 107 0 950 3
a 47 35 0 919 21
a 47 96 0 726 95
a 47 93 0 274 15
a 47 114 0 177 64
a 47 15 0 335 179
a 47 71 0 274 88
a 48 45 0 193 2
a 48 44 0 374 63
a 48 19 0 580 115
a 48 107 0 620 45
a 48 119 0 644 191
a 48 10 0 127 173
a 48 94 0 354 111
a 48 32 0 612 40
a 59 61 0 193 159
a 59 43 0 754 88
a 59 118 0 367 143
a 59 69 0 378 19
a 59 119 0 725 18
a 61 118 0 193 200
a 61 62 0 193 76
a 61 15 0 516 145
a 61 119 0 531 27
a 61 57 0 263 171
a 61 116 0 929 67
a 61 111 0 729 140
a 61 54 0 861 156
a 61 43 0 733 67
a 61 64 0 839 73
a 62 16 0 193 57
a 62 115 0 105 118
a 62 53 0 585 185
a 62 40 0 342 94
a 71 59 0 193 200
a 71 92 0 302 6
a 71 61 0 938 145
a 71 8 0 923 84
a 71 31 0 905 147
a 71 63 0 364 119
a 71 116 0 816 66
a 71 67 0 107 111
a 71 39 0 904 50
a 71 106 0 453 123
a 71 118 0 105 138
a 71 22 0 459 192
a 71 119 0 207 115
a 71 41 0 170 153
a 71 99 0 394 111
a 71 120 0 334 14
a 81 102 0 193 58
a 81 63 0 171 177
a 81 108 0 338 41
a 81 21 0 142 46
a 81 105 0 746 163
a 81 89 0 232 93
a 81 27 0 823 196
a 81 61 0 305 152
a 81 115 0 280 17
a 81 64 0 465 36
a 81 17 0 452 138
a 81 16 0 791 185
a 81 117 0 185 118
a 81 83 0 970 149
a 81 103 0 590 59
a 81 15 0 253 68
a 83 18 0 193 96
a 83 61 0 371 159
a 83 36 0 453 44
a 83 57 0 570 136
a 83 107 0 423 135
a 83 71 0 932 38
a 83 24 0 757 146
a 83 12 0 884 17
a 93 24 0 193 200
a 93 40 0 527 148
a 93 22 0 987 50
a 93 53 0 289 13
a 93 95 0 917 84
a 93 33 0 816 158
a 93 29 0 512 98
a 93 15 0 147 84
a 93 99 0 785 85
a 93 105 0 762 147
a 93 78 0 390 85
a 99 25 0 193 147
a 99 17 0 186 44
a 99 90 0 519 147
a 99 39 0 396 115
a 99 19 0 624 183
a 99 108 0 623 63
a 99 24 0 350 24
a 99 82 0 427 24
