c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          33575481
c   Number of nodes:      300
c   Source nodes:         8
c   Sink nodes:           9
c   Number of arcs:       2000
c   Minimum arc cost:     2
c   Maximum arc cost:     200
c   Total supply:         1200
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 10
c   Maximum arc capacity: 100
c
c  *** Minimum cost flow ***
c
p min 300 2000
n 1 231
n 2 316
n 3 29
n 4 161
n 5 144
n 6 185
n 7 36
n 8 98
n 292 -63
n 293 -266
n 294 -65
n 295 -91
n 296 -429
n 297 -6
n 298 -191
n 299 -35
n 300 -54
a 1 123 0 231 51
a 1 116 0 94 46
a 9 134 0 231 48
a 9 209 0 85 108
a 9 124 0 30 148
a 9 185 0 56 15
a 18 289 0 231 200
a 18 118 0 38 95
a 18 29 0 53 96
a 18 240 0 69 189
a 18 15 0 17 65
a 18 132 0 65 42
a 18 149 0 31 167
a 18 153 0 74 45
a 18 136 0 84 141
a 30 293 0 231 200
a 30 126 0 72 184
a 30 238 0 84 151
a 30 254 0 93 137
a 30 131 0 49 69
a 30 274 0 45 130
a 30 107 0 42 2
a 30 233 0 89 35
a 30 77 0 78 122
a 30 76 0 21 92
a 49 90 0 231 101
a 49 221 0 98 176
a 49 199 0 30 5
a 49 31 0 62 130
a 49 174 0 62 58
a 49 113 0 17 150
a 49 84 0 58 182
a 49 56 0 31 104
a 49 201 0 89 8
a 52 153 0 231 200
a 52 22 0 20 47
a 52 238 0 55 113
a 52 137 0 77 124
a 52 59 0 22 120
a 52 268 0 20 59
a 52 250 0 53 124
a 52 261 0 81 79
a 52 244 0 85 89
a 52 134 0 55 187
a 72 146 0 231 71
a 72 205 0 54 49
a 72 181 0 54 169
a 72 171 0 57 75
a 72 70 0 17 118
a 72 215 0 79 13
a 72 13 0 59 180
a 72 34 0 63 42
a 72 50 0 55 141
a 72 130 0 57 173
a 72 261 0 13 85
a 80 235 0 231 57
a 80 15 0 51 11
a 80 201 0 62 116
a 80 143 0 68 184
a 83 236 0 231 10
a 83 151 0 59 14
a 83 250 0 74 51
a 83 62 0 75 119
a 83 46 0 44 108
a 83 210 0 74 63
a 83 282 0 54 170
a 83 172 0 56 191
a 83 51 0 77 151
a 83 18 0 83 14
a 83 238 0 43 22
a 90 30 0 231 200
a 90 254 0 91 23
a 90 291 0 65 148
a 90 76 0 26 126
a 90 68 0 10 185
a 97 222 0 231 200
a 97 195 0 19 38
a 97 210 0 44 139
a 97 42 0 70 192
a 97 220 0 44 126
a 97 171 0 84 11
a 97 170 0 87 130
a 97 146 0 15 110
a 97 90 0 31 121
a 97 266 0 28 140
a 97 194 0 26 107
a 97 238 0 16 73
a 123 200 0 231 200
a 123 256 0 44 147
a 123 228 0 22 131
a 123 201 0 87 186
a 134 97 0 231 200
a 134 140 0 78 3
a 134 94 0 23 32
a 134 166 0 21 147
a 134 119 0 92 121
a 134 239 0 64 68
a 141 182 0 231 118
a 141 114 0 94 73
a 141 188 0 20 171
a 141 196 0 77 126
a 141 66 0 45 79
a 141 268 0 19 177
a 141 230 0 71 29
a 141 136 0 75 103
a 142 271 0 231 200
a 142 109 0 65 23
a 142 76 0 27 192
a 142 178 0 14 197
a 142 68 0 44 145
a 142 258 0 32 53
a 142 31 0 13 21
a 142 177 0 58 28
a 146 205 0 231 43
a 146 49 0 87 66
a 146 46 0 11 15
a 146 130 0 88 91
a 146 156 0 26 174
a 146 38 0 77 114
a 146 72 0 78 165
a 146 99 0 57 190
a 146 45 0 64 108
a 146 228 0 15 166
a 146 188 0 87 103
a 153 256 0 231 173
a 153 52 0 52 142
a 153 107 0 83 68
a 153 16 0 53 96
a 177 207 0 231 166
a 177 47 0 22 156
a 177 132 0 98 124
a 177 191 0 29 94
a 177 103 0 29 136
a 177 66 0 36 25
a 177 175 0 39 7
a 177 78 0 34 24
a 182 253 0 231 200
a 182 71 0 24 182
a 182 89 0 57 128
a 182 277 0 77 61
a 184 247 0 231 200
a 184 282 0 71 189
a 184 109 0 11 65
a 184 114 0 89 25
a 184 235 0 23 90
a 184 60 0 62 141
a 184 221 0 96 85
a 184 77 0 36 21
a 185 142 0 231 200
a 185 70 0 10 161
a 185 139 0 42 15
a 185 256 0 86 105
a 185 235 0 88 107
a 185 42 0 13 7
a 185 10 0 43 102
a 200 52 0 231 200
a 200 213 0 55 19
a 200 157 0 40 196
a 200 156 0 50 163
a 200 80 0 51 66
a 200 187 0 24 158
a 200 221 0 33 46
a 200 139 0 97 187
a 200 117 0 36 144
a 200 212 0 61 23
a 200 133 0 99 194
a 200 124 0 32 152
a 205 18 0 231 200
a 205 299 0 231 93
a 205 176 0 46 113
a 205 233 0 94 69
a 205 25 0 37 23
a 207 72 0 231 200
a 207 74 0 90 55
a 207 14 0 38 113
a 207 267 0 50 173
a 207 22 0 76 40
a 207 156 0 35 74
a 207 160 0 96 31
a 207 123 0 91 94
a 207 234 0 87 33
a 222 262 0 231 28
