c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          86424209
c   Number of nodes:      600
c   Source nodes:         10
c   Sink nodes:           10
c   Number of arcs:       5000
c   Minimum arc cost:     1
c   Maximum arc cost:     50
c   Total supply:         3000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 1
c   Maximum arc capacity: 10
c
c  *** Minimum cost flow ***
c
p min 600 5000
n 1 484
n 2 234
n 3 82
n 4 256
n 5 236
n 6 300
n 7 195
n 8 300
n 9 508
n 10 405
n 591 -152
n 592 -179
n 593 -564
n 594 -57
n 595 -556
n 596 -164
n 597 -112
n 598 -809
n 599 -129
n 600 -278
a 1 396 0 484 5
a 1 173 0 2 48
a 1 211 0 4 30
a 1 153 0 4 24
a 1 335 0 1 4
a 1 336 0 4 43
a 1 29 0 10 5
a 1 255 0 1 3
a 1 218 0 6 42
a 1 469 0 5 16
a 1 320 0 1 14
a 1 261 0 8 10
a 1 18 0 6 10
a 12 489 0 484 50
a 12 141 0 1 16
a 12 207 0 5 27
a 15 288 0 484 1
a 15 107 0 4 7
a 15 568 0 6 28
a 23 598 0 484 50
a 23 99 0 484 17
a 23 164 0 3 28
a 23 25 0 2 1
a 23 117 0 6 39
a 23 556 0 7 2
a 23 16 0 10 32
a 23 567 0 3 17
a 23 489 0 6 38
a 23 418 0 2 21
a 23 539 0 5 50
a 23 345 0 3 9
a 23 374 0 7 13
a 23 343 0 4 8
a 23 583 0 5 30
a 23 225 0 7 41
a 24 290 0 484 41
a 24 30 0 8 15
a 24 491 0 3 29
a 24 494 0 7 48
a 24 388 0 3 28
a 24 387 0 2 46
a 24 121 0 10 4
a 24 503 0 1 21
a 24 76 0 6 7
a 24 44 0 6 42
a 24 451 0 9 20
a 25 574 0 484 43
a 25 451 0 3 2
a 25 489 0 2 46
a 25 421 0 4 41
a 25 376 0 3 39
a 57 508 0 484 50
a 57 357 0 2 34
a 57 595 0 10 16
a 57 574 0 1 31
a 57 158 0 1 42
a 57 597 0 7 33
a 57 444 0 5 3
a 57 164 0 1 17
a 57 138 0 6 27
a 57 502 0 9 29
a 57 154 0 2 12
a 57 487 0 7 29
a 57 335 0 1 44
a 57 348 0 8 36
a 57 413 0 9 46
a 63 15 0 484 17
a 63 545 0 7 19
a 63 188 0 3 14
a 63 75 0 5 35
a 63 202 0 3 12
a 63 274 0 1 2
a 63 386 0 4 31
a 63 106 0 3 37
a 63 276 0 3 38
a 63 384 0 9 10
a 63 245 0 5 18
a 77 303 0 484 50
a 77 11 0 7 43
a 77 499 0 5 15
a 84 382 0 484 50
a 84 397 0 3 17
a 84 228 0 1 50
a 84 150 0 9 25
a 84 413 0 8 12
a 92 25 0 484 40
a 92 18 0 9 44
a 92 414 0 10 14
a 92 231 0 7 27
a 92 412 0 10 3
a 92 553 0 3 41
a 92 211 0 3 39
a 99 595 0 484 50
a 99 376 0 2 49
a 108 23 0 484 28
a 108 359 0 4 6
a 108 460 0 7 7
a 108 500 0 1 33
a 108 231 0 4 30
a 108 407 0 5 4
a 108 225 0 2 37
a 123 92 0 484 50
a 123 574 0 1 11
a 123 45 0 3 6
a 151 589 0 484 50
a 151 553 0 7 19
a 151 140 0 9 4
a 151 22 0 9 24
a 151 521 0 9 49
a 151 485 0 6 11
a 151 77 0 4 42
a 151 255 0 4 33
a 151 346 0 3 27
a 151 530 0 7 7
a 151 93 0 5 11
a 151 359 0 8 30
a 151 41 0 6 39
a 151 342 0 5 50
a 151 33 0 8 40
a 156 577 0 484 50
a 156 283 0 1 47
a 156 70 0 10 48
a 156 144 0 4 3
a 156 425 0 8 31
a 169 426 0 484 12
a 169 18 0 7 39
a 169 338 0 2 3
a 169 323 0 8 41
a 169 490 0 7 39
a 169 498 0 1 15
a 169 405 0 5 33
a 181 151 0 484 50
a 181 173 0 7 6
a 181 375 0 9 10
a 181 556 0 2 10
a 181 234 0 5 42
a 181 99 0 4 39
a 181 287 0 8 4
a 181 593 0 10 24
a 181 70 0 6 21
a 181 19 0 4 45
a 181 204 0 9 18
a 181 457 0 3 25
a 182 77 0 484 37
a 182 574 0 10 15
a 182 292 0 10 22
a 182 98 0 10 33
a 182 162 0 8 4
a 182 42 0 5 10
a 182 582 0 2 26
a 189 222 0 484 50
a 189 412 0 2 4
a 189 14 0 6 33
a 202 181 0 484 50
a 202 353 0 6 14
a 202 342 0 8 32
a 202 575 0 4 49
a 202 30 0 2 21
a 202 424 0 2 43
a 202 26 0 4 45
a 209 338 0 484 50
a 209 469 0 8 20
a 209 585 0 9 10
a 222 24 0 484 50
a 222 185 0 8 9
a 222 554 0 7 16
a 222 136 0 4 48
a 222 11 0 6 27
a 222 484 0 9 26
a 222 314 0 1 21
a 222 50 0 9 37
a 222 397 0 10 24
a 222 153 0 8 28
a 222 282 0 10 14
a 222 184 0 7 12
a 222 176 0 8 26
a 222 560 0 6 48
a 222 229 0 8 13
a 229 532 0 484 50
a 229 572 0 9 35
