c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          11483474
c   Number of nodes:      300
c   Source nodes:         8
c   Sink nodes:           9
c   Number of arcs:       2000
c   Minimum arc cost:     2
c   Maximum arc cost:     200
c   Total supply:         6000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 10
c   Maximum arc capacity: 100
c
c  *** Minimum cost flow ***
c
p min 300 2000
n 1 750
n 2 1113
n 3 456
n 4 950
n 5 1035
n 6 719
n 7 363
n 8 614
n 292 -600
n 293 -470
n 294 -8
n 295 -882
n 296 -364
n 297 -1406
n 298 -253
n 299 -1264
n 300 -753
a 1 190 0 750 38
a 1 255 0 76 38
a 1 29 0 100 44
a 1 285 0 14 110
a 1 137 0 96 109
a 1 41 0 90 31
a 1 175 0 24 86
a 1 121 0 88 45
a 11 51 0 750 89
a 11 63 0 13 38
a 11 277 0 34 39
a 11 94 0 45 81
a 13 266 0 750 200
a 13 123 0 11 35
a 13 278 0 89 23
a 51 295 0 750 200
a 51 26 0 17 192
a 51 88 0 73 18
a 51 166 0 54 187
a 51 46 0 40 48
a 51 160 0 65 71
a 69 245 0 750 200
a 69 18 0 28 50
a 69 133 0 95 66
a 69 292 0 47 91
a 69 286 0 87 177
a 69 262 0 70 170
a 69 111 0 29 71
a 79 276 0 750 200
a 79 266 0 53 172
a 79 180 0 22 171
a 79 96 0 21 132
a 79 98 0 44 126
a 79 248 0 23 22
a 79 41 0 74 94
a 79 26 0 36 54
a 79 265 0 67 43
a 79 152 0 81 125
a 96 158 0 750 11
a 96 255 0 10 128
a 96 13 0 81 117
a 96 281 0 32 54
a 96 112 0 36 198
a 96 43 0 37 79
a 96 144 0 91 155
a 96 199 0 39 147
a 108 199 0 750 200
a 108 97 0 62 75
a 108 247 0 89 116
a 108 204 0 44 38
a 108 135 0 91 139
a 108 281 0 65 153
a 108 230 0 96 67
a 108 152 0 39 153
a 108 156 0 21 166
a 108 185 0 37 154
a 108 263 0 80 138
a 139 169 0 750 50
a 139 150 0 18 189
a 139 167 0 11 26
a 139 124 0 38 126
a 139 91 0 29 12
a 139 163 0 50 75
a 139 246 0 26 79
a 139 179 0 13 155
a 142 268 0 750 200
a 142 212 0 61 82
a 142 37 0 25 155
a 142 141 0 86 16
a 142 61 0 77 91
a 142 119 0 39 67
a 142 79 0 13 66
a 142 131 0 53 53
a 142 118 0 66 89
a 144 108 0 750 200
a 144 81 0 25 73
a 144 231 0 69 153
a 144 178 0 34 109
a 144 290 0 85 89
a 149 208 0 750 187
a 149 90 0 40 112
a 149 84 0 22 113
a 149 63 0 30 73
a 149 18 0 50 149
a 149 113 0 15 2
a 149 66 0 99 75
a 149 57 0 66 190
a 149 265 0 36 194
a 149 297 0 44 179
a 149 250 0 51 99
a 149 261 0 97 178
a 158 299 0 750 160
a 158 13 0 750 200
a 158 271 0 60 139
a 158 282 0 80 3
a 158 106 0 40 165
a 158 123 0 55 172
a 158 226 0 67 155
a 158 201 0 18 51
a 158 171 0 72 22
a 158 67 0 16 193
a 158 241 0 45 189
a 158 225 0 99 47
a 158 156 0 46 5
a 169 225 0 750 155
a 169 10 0 43 105
a 169 46 0 52 78
a 169 222 0 25 154
a 169 15 0 67 17
a 169 34 0 14 189
a 173 247 0 750 149
a 173 203 0 100 21
a 173 100 0 42 12
a 173 206 0 43 79
a 173 221 0 90 49
a 173 284 0 67 173
a 173 28 0 34 165
a 173 87 0 77 102
a 173 116 0 64 186
a 173 67 0 28 16
a 173 134 0 49 125
a 185 79 0 750 113
a 185 31 0 92 4
a 185 13 0 25 150
a 185 70 0 39 22
a 185 40 0 74 13
a 185 108 0 67 40
a 185 111 0 57 7
a 185 175 0 45 54
a 185 213 0 87 87
a 185 37 0 88 61
a 185 102 0 21 127
a 185 298 0 69 68
a 190 69 0 750 200
a 190 230 0 75 65
a 190 202 0 52 160
a 190 164 0 39 44
a 190 34 0 84 83
a 190 228 0 75 49
a 198 142 0 750 200
a 198 251 0 23 70
a 198 117 0 66 18
a 198 173 0 90 101
a 198 100 0 20 96
a 198 95 0 28 30
a 198 224 0 13 29
a 198 134 0 49 163
a 198 61 0 97 52
a 198 247 0 86 84
a 198 207 0 19 153
a 199 96 0 750 200
a 199 161 0 24 127
a 208 243 0 750 90
a 208 233 0 38 52
a 208 266 0 79 106
a 208 261 0 45 19
a 208 296 0 85 176
a 208 95 0 47 71
a 208 144 0 47 26
a 208 65 0 11 61
a 208 139 0 63 53
a 208 285 0 28 181
a 225 239 0 750 200
a 225 92 0 81 164
a 225 164 0 36 10
a 225 139 0 25 37
a 225 224 0 68 15
a 225 32 0 21 142
a 225 100 0 36 57
a 225 144 0 27 82
a 225 221 0 45 130
a 225 59 0 36 108
a 225 246 0 96 179
a 225 22 0 22 110
a 226 185 0 750 200
a 226 107 0 87 54
a 226 90 0 10 46
a 226 260 0 46 136
a 239 149 0 750 200
a 239 89 0 63 92
a 239 90 0 92 191
