c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          32539157
c   Number of nodes:      300
c   Source nodes:         8
c   Sink nodes:           9
c   Number of arcs:       2000
c   Minimum arc cost:     2
c   Maximum arc cost:     200
c   Total supply:         4000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 1
c   Maximum arc capacity: 10
c
c  *** Minimum cost flow ***
c
p min 300 2000
n 1 514
n 2 242
n 3 757
n 4 518
n 5 308
n 6 793
n 7 328
n 8 540
n 292 -291
n 293 -241
n 294 -142
n 295 -386
n 296 -332
n 297 -717
n 298 -774
n 299 -487
n 300 -630
a 1 49 0 514 200
a 1 39 0 7 90
a 10 115 0 514 200
a 10 63 0 2 165
a 10 291 0 4 29
a 10 238 0 8 97
a 10 176 0 5 31
a 10 156 0 3 149
a 10 44 0 3 56
a 10 56 0 7 31
a 10 16 0 8 105
a 10 184 0 8 38
a 12 163 0 514 102
a 12 238 0 4 99
a 12 44 0 10 164
a 12 222 0 7 133
a 12 295 0 5 94
a 12 85 0 2 100
a 12 138 0 10 68
a 12 250 0 5 81
a 12 244 0 1 70
a 12 274 0 10 64
a 12 247 0 3 66
a 19 72 0 514 200
a 19 48 0 4 28
a 19 22 0 4 113
a 19 230 0 6 154
a 19 89 0 9 69
a 19 252 0 9 30
a 19 132 0 5 37
a 19 94 0 6 119
a 19 115 0 4 9
a 19 130 0 3 140
a 19 239 0 2 180
a 19 69 0 7 117
a 24 227 0 514 200
a 24 202 0 8 61
a 33 84 0 514 200
a 33 155 0 10 149
a 33 85 0 10 47
a 33 263 0 2 63
a 33 49 0 9 77
a 33 132 0 1 196
a 33 40 0 1 126
a 33 37 0 5 71
a 33 13 0 6 139
a 33 109 0 8 105
a 43 297 0 514 63
a 43 88 0 514 200
a 43 33 0 10 9
a 43 53 0 2 25
a 43 40 0 1 48
a 43 249 0 4 135
a 43 277 0 10 162
a 43 139 0 3 190
a 49 19 0 514 200
a 49 266 0 9 27
a 49 241 0 6 168
a 49 250 0 3 153
a 49 262 0 2 114
a 49 98 0 10 164
a 50 224 0 514 200
a 50 222 0 8 141
a 50 137 0 3 156
a 50 258 0 7 115
a 50 26 0 10 111
a 50 150 0 1 103
a 50 140 0 5 123
a 50 68 0 6 134
a 50 223 0 9 51
a 50 298 0 8 99
a 50 92 0 5 51
a 50 268 0 10 111
a 60 142 0 514 130
a 60 249 0 10 129
a 60 217 0 10 160
a 60 172 0 8 193
a 60 224 0 5 120
a 60 30 0 7 137
a 60 71 0 9 112
a 60 236 0 1 36
a 60 21 0 5 146
a 60 81 0 2 20
a 72 33 0 514 70
a 72 40 0 8 40
a 72 257 0 8 119
a 72 287 0 3 70
a 72 183 0 10 72
a 72 186 0 10 142
a 72 158 0 2 108
a 72 173 0 9 49
a 72 175 0 2 174
a 72 193 0 9 116
a 77 198 0 514 200
a 77 87 0 4 45
a 77 260 0 3 87
a 77 292 0 5 104
a 77 172 0 4 84
a 79 182 0 514 200
a 79 70 0 7 170
a 79 47 0 9 7
a 79 22 0 3 146
a 79 66 0 10 9
a 79 221 0 3 92
a 79 126 0 4 107
a 79 12 0 10 156
a 84 181 0 514 200
a 84 110 0 10 160
a 84 68 0 9 135
a 84 187 0 10 144
a 86 24 0 514 200
a 86 206 0 8 146
a 86 140 0 4 134
a 86 113 0 8 33
a 86 231 0 1 90
a 88 119 0 514 114
a 88 183 0 10 176
a 88 254 0 9 33
a 88 201 0 7 164
a 88 66 0 6 123
a 88 75 0 1 108
a 89 100 0 514 200
a 89 249 0 4 7
a 89 299 0 5 106
a 89 54 0 4 194
a 100 43 0 514 200
a 100 69 0 5 100
a 100 183 0 9 11
a 100 30 0 9 33
a 100 79 0 6 7
a 100 81 0 10 126
a 100 174 0 2 160
a 100 217 0 8 200
a 100 96 0 5 190
a 100 227 0 5 197
a 100 165 0 4 139
a 100 181 0 2 30
a 101 292 0 514 200
a 101 209 0 8 148
a 101 230 0 1 53
a 101 266 0 4 160
a 101 167 0 4 135
a 101 121 0 1 36
a 101 281 0 3 108
a 101 109 0 7 56
a 101 134 0 7 44
a 103 12 0 514 37
a 103 132 0 1 27
a 103 82 0 3 64
a 103 232 0 4 88
a 103 185 0 4 98
a 103 123 0 6 111
a 103 241 0 6 184
a 103 98 0 4 9
a 103 121 0 4 112
a 103 138 0 10 142
a 103 84 0 7 77
a 103 170 0 1 132
a 104 89 0 514 200
a 104 127 0 4 183
a 104 67 0 10 146
a 104 17 0 8 27
a 104 141 0 7 116
a 104 90 0 6 32
a 104 145 0 2 31
a 104 118 0 5 121
a 104 173 0 2 136
a 104 178 0 10 186
a 115 104 0 514 88
a 115 277 0 3 134
a 115 247 0 4 30
a 119 222 0 514 141
a 119 123 0 4 54
a 142 86 0 514 200
a 142 272 0 4 4
a 142 52 0 5 172
a 142 169 0 4 52
a 142 258 0 8 132
a 142 109 0 4 109
a 142 76 0 7 113
a 142 139 0 6 138
a 142 252 0 3 83
